id,name,nvar,ncon,nequ,status,objective,elapsed_time,iter,dual_feas,primal_feas,neval_obj,neval_grad,neval_cons,neval_jcon,neval_jgrad,neval_jac,neval_jprod,neval_jtprod,neval_hess,neval_hprod,neval_jhprod,neval_residual,neval_jac_residual,neval_jprod_residual,neval_jtprod_residual,neval_hess_residual,neval_jhess_residual,neval_hprod_residual,extrainfo
1,AKIVA,2,0,0,max_time,NaN,30.00007700920105,244164,NaN,0.0,6348240,488328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,ALLINITU,4,0,0,first_order,5.7443849103203375,0.00032782554626464844,12,8.861911186331151e-9,0.0,15,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,ARGLINA,200,0,0,first_order,199.99999999999787,0.002599000930786133,2,1.5319112580834624e-13,0.0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,ARGLINB,200,0,0,first_order,99.62546834719139,0.004410982131958008,2,6451.004295577448,0.0,28,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,ARGLINC,200,0,0,first_order,101.12547073775671,0.004454851150512695,2,7035.728077197199,0.0,28,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,ARGTRIGLS,200,0,0,first_order,4.238513848321308e-12,0.5290079116821289,789,3.369040342883495e-5,0.0,815,804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,BA-L1LS,57,0,0,first_order,4.404730814888196e-12,0.0040740966796875,21,0.007891426820980135,0.0,40,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,BA-L1SPLS,57,0,0,first_order,3.5362932395949318e-12,0.004973888397216797,26,0.006917968838778076,0.0,45,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,BARD,3,0,0,first_order,0.008214877306583308,0.0005021095275878906,25,2.2489045245804296e-7,0.0,31,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,BEALE,2,0,0,first_order,3.8635844019686286e-14,0.00034689903259277344,13,2.795276235994649e-7,0.0,21,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
11,BENNETT5LS,3,0,0,first_order,0.0005389456249461876,0.005706787109375,31,0.00335672746764629,0.0,51,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
12,BIGGS6,6,0,0,first_order,0.005655649809533361,0.0013179779052734375,57,7.001042356896694e-9,0.0,79,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13,BOX3,3,0,0,first_order,6.43540577368104e-16,0.0004949569702148438,27,2.6268652667255247e-8,0.0,31,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14,BOXBODLS,2,0,0,first_order,9771.499999995156,0.0001780986785888672,3,4.8508058823321766e-9,0.0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
15,BRKMCC,2,0,0,first_order,0.16904267919645036,0.0002200603485107422,8,8.381477154670776e-9,0.0,13,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
16,BROWNAL,200,0,0,first_order,1.4737938498108177e-9,0.003935098648071289,10,1.0858511549657689e-5,0.0,27,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17,BROWNBS,2,0,0,first_order,1.1464906165404427e-16,0.00023698806762695312,13,0.020734490568962424,0.0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18,BROWNDEN,4,0,0,first_order,85822.20135244139,0.0007119178771972656,27,0.011760290949483278,0.0,49,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
19,CERI651ALS,7,0,0,first_order,350.28152977619607,0.027760982513427734,365,0.07977792999113542,0.0,571,435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20,CERI651BLS,7,0,0,first_order,95.8966299592522,0.13468003273010254,1746,0.0006929185391040315,0.0,2648,2369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
21,CERI651CLS,7,0,0,first_order,56.57982168735667,0.47896504402160645,7307,0.0094087761495141,0.0,10754,9604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
22,CERI651DLS,7,0,0,max_time,NaN,30.00023603439331,75052,NaN,0.0,1944869,149894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
23,CERI651ELS,7,0,0,first_order,23.68739393139794,0.2077178955078125,2847,0.00932699172395941,0.0,4223,3742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
24,CHNROSNB,50,0,0,first_order,3.993240786423319e-10,0.0060269832611083984,255,5.2159595258068836e-5,0.0,277,271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
25,CHNRSNBM,50,0,0,first_order,2.83790491515748e-10,0.009357929229736328,385,5.6685680849151726e-5,0.0,409,403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
26,CHWIRUT1LS,3,0,0,first_order,2384.4771393093506,0.0020008087158203125,30,0.0617159259511549,0.0,57,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
27,CHWIRUT2LS,3,0,0,first_order,513.0480294068658,0.0011179447174072266,30,0.004365631077758567,0.0,55,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
28,CLIFF,2,0,0,first_order,1.0074365893635723e6,0.00019598007202148438,3,1.0000119566035137,0.0,19,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
29,CLUSTERLS,2,0,0,first_order,1.4549949456868766e-14,0.00026488304138183594,14,1.0224271776281711e-8,0.0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
30,COATING,134,0,0,first_order,0.5055978359442354,0.6623189449310303,8898,0.00030411233111658304,0.0,9644,9475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
31,COOLHANSLS,9,0,0,first_order,4.812515611595475e-5,0.0006940364837646484,39,0.05184425724385933,0.0,65,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
32,CUBE,2,0,0,first_order,8.092134755619526e-13,0.00038504600524902344,31,2.5681023441108538e-5,0.0,46,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
33,DANIWOODLS,2,0,0,first_order,103.917818,0.00014710426330566406,1,3.314439399163585e-27,0.0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
34,DANWOODLS,2,0,0,first_order,0.004317308409173669,0.0004467964172363281,21,1.274023805578487e-5,0.0,44,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
35,DENSCHNA,2,0,0,first_order,4.674346721828689e-16,0.0002300739288330078,10,6.39432219783937e-8,0.0,13,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
36,DENSCHNB,2,0,0,first_order,6.463463883008177e-19,0.00014710426330566406,8,2.0713069178964457e-9,0.0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
37,DENSCHNC,2,0,0,first_order,0.18336165467889867,0.00026106834411621094,15,5.419486103258682e-6,0.0,24,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
38,DENSCHND,3,0,0,first_order,0.04164791097277411,0.00038814544677734375,24,0.8038160706856409,0.0,43,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
39,DENSCHNE,3,0,0,first_order,2.479111291108761e-14,0.0003559589385986328,27,3.149038288568738e-7,0.0,56,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
40,DENSCHNF,2,0,0,first_order,2.9204953300195635e-13,0.00022792816162109375,11,1.1260813202892102e-5,0.0,19,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
41,DEVGLA1,4,0,0,first_order,2.6252602432781914e-13,0.0027039051055908203,58,0.00012699912863006605,0.0,92,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
42,DEVGLA2,5,0,0,first_order,5.802678804536421e-12,0.004508018493652344,168,0.00012587061317674217,0.0,252,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
43,DIAMON2DLS,66,0,0,first_order,13126.204035907984,0.09068989753723145,5,0.273350314089043,0.0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
44,DIAMON3DLS,99,0,0,first_order,12673.829238842956,0.05997109413146973,3,0.04460234028490123,0.0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
45,DJTL,2,0,0,first_order,-8951.54472374742,0.010584115982055664,922,4.904358206005752e-6,0.0,1673,1394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
46,DMN15102LS,66,0,0,first_order,13126.204035907984,0.08803296089172363,5,0.273350314089043,0.0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
47,DMN15103LS,99,0,0,first_order,12673.829238842956,0.07184386253356934,3,0.04460234028490123,0.0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
