id,name,nvar,ncon,nequ,status,objective,elapsed_time,iter,dual_feas,primal_feas,neval_obj,neval_grad,neval_cons,neval_jcon,neval_jgrad,neval_jac,neval_jprod,neval_jtprod,neval_hess,neval_hprod,neval_jhprod,neval_residual,neval_jac_residual,neval_jprod_residual,neval_jtprod_residual,neval_hess_residual,neval_jhess_residual,neval_hprod_residual,extrainfo
1,AKIVA,2,0,0,first_order,6.166042212452231,1.6661720275878906,5,0.00037080871096535666,0.0,6,6,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,
2,ALLINITU,4,0,0,first_order,5.744384910321453,0.0007140636444091797,7,5.317027388808807e-6,0.0,14,8,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,
3,ARGLINA,200,0,0,first_order,200.0000000000031,0.36269307136535645,1,1.626529622676562e-12,0.0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
4,ARGLINB,200,0,0,first_order,99.62546816670428,0.37030696868896484,1,0.31689150158343754,0.0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
5,ARGLINC,200,0,0,first_order,101.1254705171689,0.34160804748535156,1,0.24547612469620972,0.0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
6,ARGTRIGLS,200,0,0,first_order,1.1714709146851379e-14,0.7652628421783447,4,1.3505475569068201e-5,0.0,5,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,
7,BA-L1LS,57,0,0,first_order,2.137231092410023e-19,0.013570070266723633,9,5.635332774706012e-6,0.0,14,10,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,
8,BA-L1SPLS,57,0,0,first_order,1.582952797092631e-10,0.01782703399658203,5,0.03880244404786627,0.0,10,6,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,
9,BARD,3,0,0,first_order,0.008214877306584437,0.0007090568542480469,9,1.4578245225400575e-7,0.0,10,10,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,
10,BEALE,2,0,0,first_order,2.2245382452868775e-18,0.0004980564117431641,7,5.662848864918915e-9,0.0,8,8,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,
11,BENNETT5LS,3,0,0,first_order,0.0005294146575479912,0.0025191307067871094,7,0.02851488430269504,0.0,12,8,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,
12,BIGGS6,6,0,0,max_eval,0.24270329712679906,0.05451488494873047,977,1.252080461892968e-5,0.0,1000,978,0,0,0,0,0,0,977,0,0,0,0,0,0,0,0,0,
13,BOX3,3,0,0,first_order,4.815179307791035e-11,0.0005588531494140625,7,4.042295701293973e-6,0.0,8,8,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,
14,BOXBODLS,2,0,0,first_order,9771.499008918954,0.00028896331787109375,2,0.0012517418984478368,0.0,3,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,
15,BRKMCC,2,0,0,first_order,0.1690426792010748,0.00014400482177734375,2,6.1053106267902225e-6,0.0,3,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,
16,BROWNAL,200,0,0,first_order,7.47209962084516e-5,0.567889928817749,3,0.055095419094979094,0.0,4,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,
17,BROWNBS,2,0,0,first_order,1.045402505427116e-15,0.00041294097900390625,6,0.06347703385152072,0.0,14,7,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,
18,BROWNDEN,4,0,0,first_order,85822.20135243525,0.0006811618804931641,7,0.003873966992492934,0.0,8,8,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,
19,CERI651ALS,7,0,0,first_order,334.81410107591813,0.021630048751831055,105,0.007212792578378388,0.0,149,106,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,
20,CERI651BLS,7,0,0,first_order,95.89531558440054,0.010713815689086914,47,7.923933451515086e-6,0.0,51,48,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,
21,CERI651CLS,7,0,0,first_order,56.5796999999375,0.014539003372192383,51,0.28233832187561614,0.0,59,52,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,
22,CERI651DLS,7,0,0,first_order,14.017541833139743,0.00877690315246582,29,0.17390423670592925,0.0,40,30,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,
